cell_type	filter	n_total	n_ptc	n_nmd_responsive	nmd_rate_ptc	nmd_rate_no_ptc	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr
AT	none	109379	18272	2810	0.026762259194395798	0.02547553974996433	1.051904691245699	0.9509451559210912	1.1617322820524572	0.3177360962583923	0.33045198039535534
DD	none	109379	18272	9021	0.08510288966725044	0.08194760007463751	1.0420895701763062	0.9835875180681537	1.1035453742289276	0.1572568222680022	0.2490664225820884
DD_ALI	none	109379	18272	7741	0.05171847635726795	0.07459360971165772	0.6766208247914602	0.6302120875981367	0.7258285789212101	4.0251992747501285e-30	2.415119564850077e-29
DO	none	109379	18272	20	3.2837127845884414e-4	1.5366547027121955e-4	2.137302340058513	0.6730779291216771	5.921372561137321	0.12855600143201465	0.2490664225820884
FB	none	109379	18272	1370	0.013572679509632224	0.01231518983173631	1.103539270312531	0.9568999679017115	1.2685660598099244	0.16604428172139227	0.2490664225820884
MV	none	109379	18272	4561	0.043016637478108584	0.041434796448132416	1.039897208537245	0.9601235732523603	1.1251993228197597	0.33045198039535534	0.33045198039535534
