comparison	n	comp_only_ptc	dom_only_ptc	both_ptc	neither_ptc	pct_comp_only	pct_dom_only
C1	341	29	36	21	255	8.504398826979472	10.557184750733137
C2	2538	271	250	114	1903	10.677698975571316	9.850275807722616
C4	10488	1094	955	478	7961	10.430968726163234	9.105644546147978
