cell_type	filter	n_total	n_ptc	n_nmd_responsive	nmd_rate_ptc	nmd_rate_no_ptc	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr
AT	5pct	52200	5210	3056	0.317274472168906	0.0298574164715897	15.09417149485127	13.941768429558095	16.357380197224572	0	0
DD	5pct	58141	6792	6748	0.5295936395759717	0.061364388790434085	17.218498404684972	16.220138963308102	18.285138785288655	0	0
DD_ALI	5pct	49107	3602	8799	0.1804553026096613	0.1790792220635095	1.0093762453738084	0.922687770633333	1.1029803703182637	0.8390540569428381	0.8390540569428381
DO	5pct	49289	3790	20	0.0010554089709762533	3.5165608035341435e-4	3.003259137454885	0.7302755890166984	9.313558738736372	0.06271236032664973	0.07525483239197968
FB	5pct	52797	4663	1632	0.1790692687111302	0.016557942410769935	12.95420145145059	11.677404801474463	14.37173679308472	0	0
MV	5pct	48877	5289	4500	0.4647381357534506	0.0468477562631917	17.662487850249033	16.460227142629574	18.946316794355862	0	0
