ptc_distance_bin	n_cell_types	total_n	total_nmd	pooled_nmd_rate	mean_nmd_rate	sd_nmd_rate	median_distance
0-50 (no PTC)	6	279482	15513	0.05550625800588231	0.0558340981085332	0.06420491353451008	-147.5
51-100	6	3140	702	0.22356687898089173	0.21348635496884177	0.130786032010581	71
101-200	6	4883	1792	0.3669875076797051	0.31980166798518717	0.21558934114171552	146
201-500	6	9574	3728	0.38938792563191976	0.33265293203417845	0.2379181698968857	323
>500	6	11749	2975	0.25321303940760914	0.232420582338467	0.17347456690770713	877.25
