ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000290931.1,,,0.52,-1.394,0.565,0.576,1,-4.61593312037681
ENSG00000082497.12,SERTAD4,SERTAD4,-0.345,2.358,-0.565,0.576,1,-4.65722402419683
ENSG00000153294.12,ADGRF4,ADGRF4,0.316,0.444,0.566,0.576,1,-4.67721786609871
ENSG00000245848.3,CEBPA,CEBPA,-0.301,1.821,-0.566,0.576,1,-4.68349269360614
ENSG00000149476.16,TKFC,TKFC,-0.122,4.684,-0.566,0.576,1,-4.69151534454044
ENSG00000137040.10,RANBP6,RANBP6,-0.084,5.16,-0.566,0.576,1,-4.69951063017396
ENSG00000155313.16,USP25,USP25,0.117,5.88,0.565,0.576,1,-4.71464750823119
ENSG00000095319.14,NUP188,NUP188,-0.107,6.25,-0.565,0.576,1,-4.73220266763283
ENSG00000126524.12,SBDS,SBDS,0.144,6.816,0.565,0.576,1,-4.73471931018048
ENSG00000293490.1,SLC66A1L,SLC66A1L,0.669,-1.255,0.565,0.577,1,-4.60222650253635
ENSG00000233797.4,UFL1-AS1,UFL1-AS1,0.763,-3.693,0.565,0.577,1,-4.60382945980596
ENSG00000167641.11,PPP1R14A,PPP1R14A,-0.954,-0.549,-0.564,0.577,1,-4.604362533775
ENSG00000163810.13,TGM4,TGM4,0.614,-3.342,0.564,0.577,1,-4.60484287037735
ENSG00000141086.18,CTRL,CTRL,-0.53,-2.374,-0.565,0.577,1,-4.60522051203759
ENSG00000144668.12,ITGA9,ITGA9,-1.317,0.221,-0.564,0.577,1,-4.60530336442052
ENSG00000290978.1,,,0.674,-3.154,0.564,0.577,1,-4.60574287922478
ENSG00000285238.2,,,2.134,-0.432,0.564,0.577,1,-4.60602665978319
ENSG00000177335.13,LINC02904,LINC02904,-0.37,-0.912,-0.563,0.577,1,-4.60689203239121
ENSG00000250474.2,WBP1LP2,WBP1LP2,0.33,-1.184,0.564,0.577,1,-4.60819823205721
ENSG00000254109.6,RBPMS-AS1,RBPMS-AS1,0.323,0.367,0.565,0.577,1,-4.61434963542745
ENSG00000269940.1,,,-0.19,1.485,-0.565,0.577,1,-4.62015074587975
ENSG00000160284.15,SPATC1L,SPATC1L,-0.252,2.323,-0.565,0.577,1,-4.62285326363129
ENSG00000171703.17,TCEA2,TCEA2,-0.246,3.407,-0.564,0.577,1,-4.63990988745215
ENSG00000280433.2,,,0.137,3.558,0.563,0.577,1,-4.66745259547898
ENSG00000214021.18,TTLL3,TTLL3,-0.248,4.2,-0.564,0.577,1,-4.67929382854465
ENSG00000105552.15,BCAT2,BCAT2,-0.132,4.859,-0.564,0.577,1,-4.68652113593494
ENSG00000293434.1,,AHSA2P,-0.152,4.474,-0.565,0.577,1,-4.69310161294296
ENSG00000183978.8,COA3,COA3,-0.179,5.086,-0.564,0.577,1,-4.69757271295322
ENSG00000175970.11,UNC119B,UNC119B,0.139,6.268,0.564,0.577,1,-4.73230170019741
ENSG00000102007.11,PLP2,PLP2,-0.158,6.412,-0.564,0.577,1,-4.73758538415859
ENSG00000007202.16,BLTP2,BLTP2,0.08,7.684,0.564,0.577,1,-4.74530115538184
ENSG00000204389.10,HSPA1A,HSPA1A,-0.157,7.587,-0.563,0.577,1,-4.74782016143256
ENSG00000179144.5,GIMAP7,GIMAP7,-0.639,-4.861,-0.562,0.578,1,-4.60080739909012
ENSG00000234817.2,ECI2-DT,ECI2-DT,0.381,-3.239,0.562,0.578,1,-4.60160905765159
ENSG00000169436.18,COL22A1,COL22A1,-0.928,-2.397,-0.562,0.578,1,-4.60534033077677
ENSG00000157833.13,GAREM2,GAREM2,-0.446,1.12,-0.563,0.578,1,-4.6161918169803
ENSG00000279253.1,,,0.251,0.263,0.563,0.578,1,-4.61700584950195
ENSG00000273213.4,H3-7,H3-7,0.366,1.856,0.563,0.578,1,-4.61914956412643
ENSG00000104267.10,CA2,CA2,0.509,1.846,0.563,0.578,1,-4.64997606695025
ENSG00000064012.24,CASP8,CASP8,0.144,4.412,0.563,0.578,1,-4.6760584259052
ENSG00000182973.20,CNOT10,CNOT10,-0.13,4.769,-0.562,0.578,1,-4.70149355203926
ENSG00000114125.14,RNF7,RNF7,0.095,6.134,0.563,0.578,1,-4.71743551081886
ENSG00000116198.14,CEP104,CEP104,0.093,5.573,0.563,0.578,1,-4.71979088853747
ENSG00000083223.18,TUT7,TUT7,0.094,5.552,0.562,0.578,1,-4.72405150053343
ENSG00000176340.4,COX8A,COX8A,-0.111,6.532,-0.562,0.578,1,-4.73503446141785
ENSG00000173812.11,EIF1,EIF1,0.084,8.411,0.563,0.578,1,-4.74761172188806
ENSG00000105388.17,CEACAM5,CEACAM5,0.401,2.943,0.563,0.578,1,-4.75132751018107
ENSG00000222005.9,LINC01118,LINC01118,-0.461,-4.687,-0.561,0.579,1,-4.60080501493831
ENSG00000140505.7,CYP1A2,CYP1A2,0.76,-4.484,0.561,0.579,1,-4.60124290035938
ENSG00000243554.1,CCZ1P1,CCZ1P1,0.591,-3.501,0.56,0.579,1,-4.60184858846258
ENSG00000236383.9,CCDC200,CCDC200,0.413,-4.938,0.56,0.579,1,-4.60306280506582
ENSG00000227733.12,,,0.463,-2.384,0.561,0.579,1,-4.60434659974117
ENSG00000279246.1,,,0.406,-2.498,0.561,0.579,1,-4.60633847916377
ENSG00000291040.1,CD99P1,CD99P1,-1.416,0.216,-0.561,0.579,1,-4.61034234576349
ENSG00000029534.22,ANK1,ANK1,-0.572,0.241,-0.561,0.579,1,-4.61866630274255
ENSG00000134245.18,WNT2B,WNT2B,0.281,0.932,0.56,0.579,1,-4.62494138085185
ENSG00000155275.19,TRMT44,TRMT44,0.144,3.811,0.561,0.579,1,-4.66130239792793
ENSG00000183474.16,GTF2H2C,GTF2H2C,-0.184,4.699,-0.56,0.579,1,-4.67611881146759
ENSG00000110074.12,FOXRED1,FOXRED1,-0.146,4.461,-0.561,0.579,1,-4.68112912383572
ENSG00000162604.13,TM2D1,TM2D1,0.151,4.961,0.56,0.579,1,-4.68196341441073
ENSG00000115652.15,UXS1,UXS1,-0.114,5.423,-0.562,0.579,1,-4.69963083638645
ENSG00000164934.15,DCAF13,DCAF13,-0.107,5.654,-0.56,0.579,1,-4.70659092431345
ENSG00000115295.21,CLIP4,CLIP4,-0.17,5.621,-0.561,0.579,1,-4.71726428981926
ENSG00000198663.17,C6orf89,C6orf89,0.057,6.706,0.561,0.579,1,-4.7378349903566
ENSG00000120690.16,ELF1,ELF1,-0.064,6.384,-0.561,0.579,1,-4.73867013220125
ENSG00000127481.15,UBR4,UBR4,-0.153,6.983,-0.562,0.579,1,-4.74081100967084
ENSG00000178882.15,RFLNA,RFLNA,1.125,-3.643,0.559,0.58,1,-4.60193581961125
ENSG00000140067.7,FAM181A,FAM181A,-0.589,-4.166,-0.56,0.58,1,-4.60290282843453
ENSG00000214575.10,CPEB1,CPEB1,-0.463,-2.905,-0.559,0.58,1,-4.60328540706617
ENSG00000188404.10,SELL,SELL,0.792,-2.64,0.56,0.58,1,-4.60373175698452
ENSG00000286833.3,,,-0.501,-3.389,-0.559,0.58,1,-4.60522092569066
ENSG00000203804.5,ADAMTSL4-AS1,ADAMTSL4-AS1,0.385,-2.587,0.56,0.58,1,-4.60567589568551
ENSG00000123496.8,IL13RA2,IL13RA2,1.122,-0.146,0.559,0.58,1,-4.60578260089103
ENSG00000104903.5,LYL1,LYL1,-0.393,-0.226,-0.56,0.58,1,-4.60623938789973
ENSG00000293175.1,,,-0.279,-0.769,-0.559,0.58,1,-4.61144747770965
