ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000226415.1,TPI1P1,TPI1P1,-0.407,-1.221,0.406,-0.261,-1.024,0.314368604550084,0.69553149011566,-5.46949914230561
ENSG00000164953.17,TMEM67,TMEM67,0.56,-0.558,1.678,4.018,1.023,0.314411157158437,0.69553149011566,-5.97376218312134
ENSG00000136883.16,KIF12,KIF12,1.051,-1.047,3.148,-3.749,1.023,0.314443202420097,0.69553149011566,-5.22454666199185
ENSG00000132432.14,SEC61G,SEC61G,-0.273,-0.819,0.272,6.163,-1.023,0.31444867946763,0.69553149011566,-6.51758472984084
ENSG00000262198.2,,,-1.232,-3.693,1.229,-1.328,-1.023,0.314664763983712,0.69593519229514,-5.14285143131697
ENSG00000272941.1,,,0.798,-0.797,2.393,-1.83,1.023,0.31471558952031,0.695936835469297,-5.33606776128557
ENSG00000170624.14,SGCD,SGCD,-1.539,-4.613,1.536,-3.243,-1.023,0.314748188591803,0.695936835469297,-5.09516350990926
ENSG00000148824.19,MTG1,MTG1,-0.172,-0.516,0.172,5.023,-1.023,0.314766221387367,0.695936835469297,-6.4718483758185
ENSG00000104432.15,IL7,IL7,-1.156,-3.468,1.156,0.507,-1.022,0.314995929595407,0.696370440494058,-5.46968078614559
ENSG00000119408.17,NEK6,NEK6,-0.348,-1.043,0.348,5.679,-1.022,0.315188310207981,0.696580611415371,-6.48900688239695
ENSG00000126524.12,SBDS,SBDS,0.249,-0.249,0.747,6.816,1.022,0.315190002686358,0.696580611415371,-6.57700683750217
ENSG00000284642.1,,,0.738,-0.738,2.215,-2.805,1.022,0.315191805840626,0.696580611415371,-5.28378379503683
ENSG00000293332.1,,,-0.464,-1.391,0.464,-1.294,-1.021,0.315359465227761,0.696876848328694,-5.43061535510644
ENSG00000139988.10,RDH12,RDH12,-1.118,-3.356,1.119,-3.246,-1.021,0.315434996827318,0.696919353892292,-5.14366187232458
ENSG00000100360.15,IFT27,IFT27,-0.367,-1.103,0.368,4.185,-1.021,0.315445938136583,0.696919353892292,-6.12884001889979
ENSG00000234782.3,TPT1P9,TPT1P9,-0.297,-0.892,0.298,0.681,-1.02,0.315811668315549,0.697588305653848,-5.68681844929492
ENSG00000134697.13,GNL2,GNL2,0.154,-0.154,0.462,5.913,1.02,0.315816027426983,0.697588305653848,-6.54505217922409
ENSG00000176155.21,CCDC57,CCDC57,0.323,-0.324,0.97,4.691,1.02,0.315914769513978,0.697732066058467,-6.16687277583532
ENSG00000042429.12,MED17,MED17,-0.231,-0.694,0.232,5.043,-1.02,0.316056926671606,0.697960510052672,-6.48068779115689
ENSG00000274227.1,,,0.703,-0.706,2.112,-4.014,1.02,0.316085541166159,0.697960510052672,-5.24067282597336
ENSG00000092621.13,PHGDH,PHGDH,0.9,-0.904,2.705,4.811,1.019,0.316310886600498,0.698383712773281,-5.92568219969085
ENSG00000038382.23,TRIO,TRIO,0.322,-0.323,0.967,7.029,1.019,0.316382824502961,0.698448138100494,-6.56445902658276
ENSG00000269091.6,,,-0.849,-2.553,0.854,-3.434,-1.019,0.3164074512736,0.698448138100494,-5.14784026663769
ENSG00000287562.1,,,-0.444,-1.335,0.447,-0.663,-1.019,0.316491120305057,0.698558445903303,-5.50205142929531
ENSG00000131778.20,CHD1L,CHD1L,0.202,-0.203,0.607,5.364,1.019,0.316527864779417,0.698560405899345,-6.4405208612088
ENSG00000279800.2,BCLAF1P2,BCLAF1P2,0.488,-0.491,1.468,-2.168,1.019,0.316559404390663,0.698560405899345,-5.30262994474816
ENSG00000151233.11,GXYLT1,GXYLT1,0.223,-0.225,0.671,4.648,1.019,0.316665199195338,0.698618347382002,-6.40533861094446
ENSG00000172932.16,ANKRD13D,ANKRD13D,0.203,-0.204,0.61,4.708,1.019,0.316688392261459,0.698618347382002,-6.38504244616183
