ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000133111.4,RFXAP,RFXAP,-0.4,-1.09,0.289,1.829,-1.186,0.245071709006875,0.763386405366269,-5.30432362191683
ENSG00000184060.11,ADAP2,ADAP2,0.53,-0.384,1.444,0.794,1.186,0.245111961167458,0.763397078575933,-5.43358379396582
ENSG00000226763.5,SRRM5,SRRM5,0.689,-0.498,1.876,-2.263,1.186,0.245229449440634,0.763648263017028,-4.97899221343965
ENSG00000066654.14,THUMPD1,THUMPD1,0.159,-0.115,0.433,5.634,1.185,0.245284879128804,0.763706149645554,-6.06927935687244
ENSG00000166847.10,DCTN5,DCTN5,-0.246,-0.671,0.178,6.911,-1.185,0.245519007061106,0.764220812010782,-6.14541543162539
ENSG00000072135.13,PTPN18,PTPN18,0.268,-0.194,0.729,5.223,1.185,0.245557844324976,0.764220812010782,-6.01645696243691
ENSG00000151575.15,TEX9,TEX9,-0.592,-1.614,0.43,3.007,-1.185,0.245655915457702,0.764220812010782,-5.41719506945791
ENSG00000247199.6,FBXO38-DT,FBXO38-DT,0.562,-0.408,1.532,-0.622,1.184,0.245669323688358,0.764220812010782,-5.04667568336557
ENSG00000171475.14,WIPF2,WIPF2,-0.154,-0.42,0.112,6.325,-1.184,0.245693189859781,0.764220812010782,-6.11186600317761
ENSG00000229132.2,EIF4A1P10,EIF4A1P10,-0.352,-0.958,0.255,-0.021,-1.184,0.245715185457002,0.764220812010782,-5.19774106201815
ENSG00000215375.7,MYL5,MYL5,-0.35,-0.953,0.254,2.323,-1.184,0.24576346826138,0.764220812010782,-5.57663780585795
ENSG00000100425.19,BRD1,BRD1,0.203,-0.147,0.553,5.338,1.184,0.245801114484744,0.764220812010782,-6.0185416864496
ENSG00000204802.3,FAM88C,FAM88C,0.982,-0.713,2.678,0.89,1.184,0.245813330296291,0.764220812010782,-5.26186354933535
ENSG00000174384.9,PMS2P6,PMS2P6,0.526,-0.382,1.435,1.357,1.184,0.245818831379059,0.764220812010782,-5.32531927936929
ENSG00000114503.11,NCBP2,NCBP2,-0.193,-0.527,0.141,6.629,-1.184,0.245918534823388,0.764416138384891,-6.13400818438966
ENSG00000189376.12,C8orf76,C8orf76,-0.267,-0.729,0.194,4.319,-1.184,0.24603941651563,0.764673044859781,-5.93404788784961
ENSG00000137145.21,DENND4C,DENND4C,0.181,-0.131,0.492,6.227,1.183,0.246091023646342,0.764673044859781,-6.07516201164451
ENSG00000180957.19,PITPNB,PITPNB,0.174,-0.127,0.475,6.632,1.183,0.246137450164324,0.764673044859781,-6.13460343329285
ENSG00000196655.12,TRAPPC4,TRAPPC4,0.149,-0.108,0.406,5.302,1.183,0.246198748698346,0.764673044859781,-6.07457544233647
ENSG00000006468.15,ETV1,ETV1,-0.863,-2.353,0.627,1.57,-1.183,0.246201199136628,0.764673044859781,-5.2240717506251
ENSG00000140367.12,UBE2Q2,UBE2Q2,0.235,-0.171,0.641,6.224,1.183,0.246233643656265,0.764673044859781,-6.10897016772445
