ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000178776.5,C5orf46,C5orf46,-0.251,-3.919,3.417,-4.95,-0.14,0.889866163219114,0.999984495355126,-4.61145935797375
ENSG00000140612.14,SEC11A,SEC11A,-0.032,-0.499,0.435,6.937,-0.14,0.889874215858016,0.999984495355126,-4.92184212891725
ENSG00000155066.16,PROM2,PROM2,-0.033,-0.508,0.443,3.789,-0.14,0.889876872301606,0.999984495355126,-4.93419589368935
ENSG00000240386.4,LCE1F,LCE1F,-0.251,-3.92,3.418,-5.565,-0.14,0.8898925922665,0.999984495355126,-4.6125722566877
ENSG00000204851.7,PNMA8B,PNMA8B,0.136,-1.848,2.119,-3.09,0.14,0.889911921892064,0.999984495355126,-4.61995579914893
ENSG00000165650.12,PDZD8,PDZD8,0.029,-0.396,0.454,5.976,0.14,0.88991713038064,0.999984495355126,-4.91778499826068
ENSG00000108381.11,ASPA,ASPA,-0.225,-3.513,3.064,-3.193,-0.14,0.889926413701509,0.999984495355126,-4.62496392051387
ENSG00000168395.16,ING5,ING5,-0.04,-0.621,0.541,4.58,-0.139,0.890006043304162,0.999984495355126,-4.83249966075132
ENSG00000122483.18,CCDC18,CCDC18,-0.092,-1.437,1.253,2.985,-0.139,0.890011197938221,0.999984495355126,-4.72209819490479
ENSG00000134996.12,OSTF1,OSTF1,-0.034,-0.532,0.464,5.783,-0.139,0.890056099653113,0.999984495355126,-4.89681995407342
ENSG00000263011.3,,,-0.145,-2.27,1.98,-3.533,-0.139,0.890067159186115,0.999984495355126,-4.62190255927813
ENSG00000267500.1,ZNF887P,ZNF887P,0.102,-1.388,1.591,-2.024,0.139,0.890072536148302,0.999984495355126,-4.62852815716293
ENSG00000153767.10,GTF2E1,GTF2E1,-0.026,-0.407,0.355,4.129,-0.139,0.890074129002912,0.999984495355126,-4.78298603740101
ENSG00000280339.1,,,-0.124,-1.942,1.694,-3.454,-0.139,0.890075846146301,0.999984495355126,-4.61612847324591
ENSG00000188761.13,BCL2L15,BCL2L15,-0.071,-1.106,0.965,1.529,-0.139,0.890129819153838,0.999984495355126,-4.72578404692703
ENSG00000223802.9,CERS1,CERS1,-0.199,-3.113,2.716,-1.212,-0.139,0.890139779682863,0.999984495355126,-4.62385203872076
ENSG00000084073.10,ZMPSTE24,ZMPSTE24,-0.024,-0.381,0.333,6.996,-0.139,0.890149927914857,0.999984495355126,-4.93391059953091
ENSG00000073169.15,SELENOO,SELENOO,-0.028,-0.443,0.386,4.958,-0.139,0.890168790606201,0.999984495355126,-4.86000795484734
ENSG00000070950.10,RAD18,RAD18,0.052,-0.715,0.819,3.762,0.139,0.890249658738387,0.999984495355126,-4.75840650316229
ENSG00000293405.1,,CYP2T1P,0.114,-1.563,1.791,-0.013,0.139,0.890260778712407,0.999984495355126,-4.66999660174372
ENSG00000145996.11,CDKAL1,CDKAL1,0.047,-0.642,0.736,3.873,0.139,0.890282039439044,0.999984495355126,-4.76001671379713
ENSG00000213430.6,HSPD1P1,HSPD1P1,0.059,-0.806,0.924,-1.315,0.139,0.89030524870938,0.999984495355126,-4.63811844070715
ENSG00000254109.6,RBPMS-AS1,RBPMS-AS1,-0.08,-1.262,1.101,0.367,-0.139,0.890315099273867,0.999984495355126,-4.64833556551839
ENSG00000177706.9,FAM20C,FAM20C,-0.107,-1.684,1.47,2.289,-0.139,0.890319999105004,0.999984495355126,-4.68989106396543
ENSG00000144837.9,PLA1A,PLA1A,0.247,-3.378,3.871,-1.295,0.139,0.890398657462044,0.999984495355126,-4.62238777819465
ENSG00000069011.16,PITX1,PITX1,0.083,-1.142,1.308,3.255,0.139,0.890419535100389,0.999984495355126,-4.92062985377847
ENSG00000147889.18,CDKN2A,CDKN2A,0.108,-1.482,1.699,4.015,0.139,0.890426977920115,0.999984495355126,-4.70040766047994
ENSG00000140968.12,IRF8,IRF8,-0.259,-4.069,3.551,-4.218,-0.139,0.890430906479618,0.999984495355126,-4.61309184484529
ENSG00000168175.16,MAPK1IP1L,MAPK1IP1L,-0.023,-0.36,0.314,6.908,-0.139,0.890436736688335,0.999984495355126,-4.93008953183992
ENSG00000271918.2,,,-0.054,-0.841,0.734,-0.83,-0.139,0.890445060828619,0.999984495355126,-4.63581389696203
ENSG00000067533.6,RRP15,RRP15,0.04,-0.554,0.635,4.713,0.139,0.890455334621395,0.999984495355126,-4.81996843990202
ENSG00000271824.2,SMIM32,SMIM32,0.219,-2.997,3.434,-4.244,0.139,0.890470577276572,0.999984495355126,-4.61536903196299
ENSG00000135083.17,CCNJL,CCNJL,0.106,-1.452,1.663,2.662,0.139,0.890549300759796,0.999984495355126,-4.66231523446129
ENSG00000188785.12,ZNF548,ZNF548,0.036,-0.499,0.571,3.373,0.139,0.890631639161316,0.999984495355126,-4.7711902890681
ENSG00000148655.16,LRMDA,LRMDA,0.153,-2.096,2.401,1.592,0.139,0.890646487511596,0.999984495355126,-4.65550849364406
ENSG00000277972.2,CISD3,CISD3,-0.054,-0.852,0.744,4.136,-0.139,0.890649209271928,0.999984495355126,-4.76688807434844
ENSG00000126821.8,SGPP1,SGPP1,0.037,-0.511,0.585,4.376,0.139,0.890663585872381,0.999984495355126,-4.78492294933314
ENSG00000005073.6,HOXA11,HOXA11,-0.192,-3.026,2.642,-3.982,-0.139,0.890708318904337,0.999984495355126,-4.61169919616893
ENSG00000184182.19,UBE2F,UBE2F,0.032,-0.443,0.508,5.338,0.139,0.890723171363944,0.999984495355126,-4.86125081039772
