ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000241484.10,ARHGAP8,ARHGAP8,-0.067,-0.54,0.406,0.468,-0.289,0.774723767110593,0.999287367938016,-6.51491277530822
ENSG00000286892.1,,,-0.233,-1.883,1.417,-5.962,-0.289,0.774735921655745,0.999287367938016,-5.49167165491578
ENSG00000145715.15,RASA1,RASA1,0.068,-0.416,0.553,6.292,0.289,0.774848644447126,0.999287367938016,-6.83261223912451
ENSG00000181481.14,RNF135,RNF135,0.091,-0.553,0.735,3.651,0.289,0.77486438158538,0.999287367938016,-6.3565936199837
ENSG00000172954.14,LCLAT1,LCLAT1,0.1,-0.609,0.81,4.458,0.289,0.774883287423899,0.999287367938016,-6.57805123561564
ENSG00000148019.14,CEP78,CEP78,-0.108,-0.871,0.655,4.759,-0.289,0.774897114811603,0.999287367938016,-6.66325054705975
ENSG00000235852.1,,,-0.121,-0.978,0.736,-1.327,-0.289,0.774907632365157,0.999287367938016,-5.73173381075919
ENSG00000165630.15,PRPF18,PRPF18,0.041,-0.251,0.334,4.351,0.289,0.774954811502283,0.999287367938016,-6.58074678231752
ENSG00000234964.4,FABP5P7,FABP5P7,-0.214,-1.73,1.302,-1.427,-0.288,0.775050746094246,0.999287367938016,-5.55979257879772
ENSG00000114771.14,AADAC,AADAC,-0.498,-4.027,3.031,0.049,-0.288,0.775148000226885,0.999287367938016,-5.79421846065425
ENSG00000103723.17,AP3B2,AP3B2,-0.224,-1.815,1.366,-1.232,-0.288,0.775196807221445,0.999287367938016,-5.68899880173288
ENSG00000124107.5,SLPI,SLPI,-0.32,-2.591,1.95,4.926,-0.288,0.77520446584904,0.999287367938016,-6.64296998556239
ENSG00000092208.19,GEMIN2,GEMIN2,0.118,-0.719,0.955,3.25,0.288,0.775225683853972,0.999287367938016,-6.26622466553522
ENSG00000162972.11,MAIP1,MAIP1,-0.086,-0.698,0.526,4.089,-0.288,0.775258873955341,0.999287367938016,-6.46884042314218
ENSG00000232485.4,RPL37A-DT,RPL37A-DT,-0.199,-1.611,1.213,-1.723,-0.288,0.775309280515179,0.999287367938016,-5.60565307217844
ENSG00000278899.1,,,-0.124,-1.006,0.758,-1.533,-0.288,0.775385865201233,0.999287367938016,-5.66845496744351
ENSG00000214827.11,MTCP1,MTCP1,-0.147,-1.193,0.898,0.12,-0.288,0.775462610828958,0.999287367938016,-5.78909793967936
ENSG00000187790.12,FANCM,FANCM,0.127,-0.777,1.032,2.902,0.288,0.775480836276163,0.999287367938016,-6.25911743430769
ENSG00000100983.12,GSS,GSS,-0.049,-0.394,0.297,5.756,-0.288,0.775490717004798,0.999287367938016,-6.81800178470393
ENSG00000106069.26,CHN2,CHN2,0.388,-2.367,3.143,0.652,0.288,0.77558596739081,0.999287367938016,-5.77230775180918
ENSG00000171408.14,PDE7B,PDE7B,-0.435,-3.524,2.654,1.832,-0.288,0.775619154401811,0.999287367938016,-5.82695130907734
