ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000196388.9,INCA1,INCA1,-1.263,-1.421,-2.019,0.053,0.201,-3.99826717566872
ENSG00000290793.1,,,-0.99,1.01,-2.018,0.053,0.201,-4.11547630242766
ENSG00000231767.5,RPS27AP5,RPS27AP5,-0.751,-0.459,-2.014,0.053,0.202,-4.14435007983839
ENSG00000229676.3,ZNF492,ZNF492,-1.546,-1.537,-2.016,0.053,0.202,-4.15691804843992
ENSG00000206559.8,ZCWPW2,ZCWPW2,0.829,0.421,2.018,0.053,0.201,-4.18071872955501
ENSG00000276490.1,,,0.99,-3.744,2.019,0.053,0.201,-4.230680195206
ENSG00000268903.1,,,1.463,-1.941,2.015,0.053,0.202,-4.25539120629253
ENSG00000283378.1,CNTNAP3C,CNTNAP3C,0.834,-0.189,2.012,0.053,0.203,-4.2704333974424
ENSG00000134245.18,WNT2B,WNT2B,0.858,0.932,2.012,0.053,0.203,-4.41486318724682
ENSG00000273344.2,PAXIP1-DT,PAXIP1-DT,-0.467,2.014,-2.016,0.053,0.202,-4.45169346825005
ENSG00000183763.9,TRAIP,TRAIP,1.155,1.822,2.02,0.053,0.201,-4.4590587326239
ENSG00000198182.13,ZNF607,ZNF607,-0.518,2.85,-2.019,0.053,0.201,-4.59251337002076
ENSG00000088876.13,ZNF343,ZNF343,0.44,3.173,2.017,0.053,0.201,-4.77271434000344
ENSG00000110063.10,DCPS,DCPS,-0.607,4.132,-2.012,0.053,0.203,-4.77537850654256
ENSG00000102743.16,SLC25A15,SLC25A15,-0.621,3.737,-2.019,0.053,0.201,-4.80036845714982
ENSG00000171813.14,PWWP2B,PWWP2B,-0.389,4.214,-2.02,0.053,0.201,-4.92371664776548
ENSG00000164654.16,MIOS,MIOS,0.315,4.532,2.014,0.053,0.202,-4.98541260257721
ENSG00000144452.15,ABCA12,ABCA12,0.898,1.554,2.017,0.053,0.201,-5.00058351785601
ENSG00000181191.12,PJA1,PJA1,-0.403,4.636,-2.02,0.053,0.201,-5.01039120043336
ENSG00000143079.15,CTTNBP2NL,CTTNBP2NL,0.404,6.009,2.016,0.053,0.202,-5.08757064981761
ENSG00000238227.8,TMEM250,TMEM250,-0.361,5.925,-2.017,0.053,0.201,-5.11932315698017
ENSG00000127824.15,TUBA4A,TUBA4A,-0.478,5.569,-2.019,0.053,0.201,-5.1664772246604
ENSG00000154518.10,ATP5MC3,ATP5MC3,-0.458,7.506,-2.02,0.053,0.201,-5.17803610350466
ENSG00000178952.11,TUFM,TUFM,-0.353,7.312,-2.017,0.053,0.201,-5.18005518236819
ENSG00000112306.8,RPS12,RPS12,-0.398,9.094,-2.019,0.053,0.201,-5.19837161729767
