group,lib.size,norm.factors,bam,id,sample,treatment,ct,bamid
1,10807728.2212995,1.19628664964784,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD047N_DMSO/PACBIO_DATA/XCAST_20250825_R84050_PL21536-002_1-1-B01_IsoSeqX_bc04.bam,047N,DD047N_DMSO,DMSO,DD,XCAST_20250825_R84050_PL21536-002_1-1-B01_IsoSeqX_bc04
1,12229566.2638234,1.29525073205093,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD047N_Smg1i/PACBIO_DATA/XCAST_20250827_R84050_PL21535-002_1-1-C01_IsoSeqX_bc03.bam,047N,DD047N_Smg1i,Smg1i,DD,XCAST_20250827_R84050_PL21535-002_1-1-C01_IsoSeqX_bc03
1,15577731.1753024,0.977870747890648,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD066Q_DMSO/PACBIO_DATA/XCAST_20250818_R84050_PL21532-002_1_D01_IsoSeqX_bc12_3p.bam,066Q,DD066Q_DMSO,DMSO,DD,XCAST_20250818_R84050_PL21532-002_1_D01_IsoSeqX_bc12_3p
1,16086072.1189887,1.12470718142695,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD066Q_Smg1i/PACBIO_DATA/XCAST_20250818_R84050_PL21531-002_1_D01_IsoSeqX_bc11_3p.bam,066Q,DD066Q_Smg1i,Smg1i,DD,XCAST_20250818_R84050_PL21531-002_1_D01_IsoSeqX_bc11_3p
1,2352586.52685842,1.95039325370561,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO001V_DMSO/PACBIO_DATA/XCAST_20250815_R84050_PL21524-002_1-1-C01_IsoSeqX_bc06.bam,001V,DO001V_DMSO,DMSO,DO,XCAST_20250815_R84050_PL21524-002_1-1-C01_IsoSeqX_bc06
1,11657552.751328,1.30546090734904,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO001V_Smg1i/PACBIO_DATA/XCAST_20250815_R84050_PL21523-002_1-1-C01_IsoSeqX_bc05.bam,001V,DO001V_Smg1i,Smg1i,DO,XCAST_20250815_R84050_PL21523-002_1-1-C01_IsoSeqX_bc05
1,10290450.3940174,1.39164060902079,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO027U_Smg1i/PACBIO_DATA/XCAST_20250813_R84050_PL21519-002_1-1-A01_IsoSeqX_bc02.bam,027U,DO027U_Smg1i,Smg1i,DO,XCAST_20250813_R84050_PL21519-002_1-1-A01_IsoSeqX_bc02
1,15240509.3653078,0.876177794687678,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO029T_DMSO/PACBIO_DATA/XCAST_20250818_R84050_PL21528-002_1_D01_IsoSeqX_bc09_3p.bam,029T,DO029T_DMSO,DMSO,DO,XCAST_20250818_R84050_PL21528-002_1_D01_IsoSeqX_bc09_3p
1,18899044.1706088,0.679294687824385,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB001V_DMSO/PACBIO_DATA/XCAST_20251105_R8405_1_PL28438-0011-C01_IsoSeqX_bc08.bam,001V,FB001V_DMSO,DMSO,FB,XCAST_20251105_R8405_1_PL28438-0011-C01_IsoSeqX_bc08
1,18267333.8940044,0.868158695460592,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB001V_Smg1i/PACBIO_DATA/XCAST_20251105_R8405_1_PL28437-0011-C01_IsoSeqX_bc07.bam,001V,FB001V_Smg1i,Smg1i,FB,XCAST_20251105_R8405_1_PL28437-0011-C01_IsoSeqX_bc07
1,20776729.3736035,0.64477233010217,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB027U_DMSO/PACBIO_DATA/XCAST_20251103_R84050_PL28434-001-1-B01_IsoSeqX_bc04.bam,027U,FB027U_DMSO,DMSO,FB,XCAST_20251103_R84050_PL28434-001-1-B01_IsoSeqX_bc04
1,22949382.5922125,0.672385073898852,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB027U_Smg1i/PACBIO_DATA/XCAST_20251103_R84050_PL28433-001-1-B01_IsoSeqX_bc03.bam,027U,FB027U_Smg1i,Smg1i,FB,XCAST_20251103_R84050_PL28433-001-1-B01_IsoSeqX_bc03
1,7738624.53068942,0.833606615265153,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB029T_DMSO_clean/PACBIO_DATA/XCAST_20251105_R8405_1_PL28442-0011-D01_IsoSeqX_bc12.bam,029T,FB029T_DMSO_clean,DMSO,FB,XCAST_20251105_R8405_1_PL28442-0011-D01_IsoSeqX_bc12
1,14990470.1943759,0.849717705102467,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB029T_Smg1i_clean/PACBIO_DATA/XCAST_20251105_R8405_1_PL28441-0011-D01_IsoSeqX_bc11.bam,029T,FB029T_Smg1i_clean,Smg1i,FB,XCAST_20251105_R8405_1_PL28441-0011-D01_IsoSeqX_bc11
1,1564267.05227508,1.56104389184406,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV001V_DMSO/PACBIO_DATA/XCAST_20251105_R8405_1_PL28436-0011-C01_IsoSeqX_bc06.bam,001V,MV001V_DMSO,DMSO,MV,XCAST_20251105_R8405_1_PL28436-0011-C01_IsoSeqX_bc06
1,5365972.09590863,1.20066296503134,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV001V_Smg1i/PACBIO_DATA/XCAST_20251105_R8405_1_PL28435-0011-C01_IsoSeqX_bc05.bam,001V,MV001V_Smg1i,Smg1i,MV,XCAST_20251105_R8405_1_PL28435-0011-C01_IsoSeqX_bc05
1,11182867.6723333,0.71266141060525,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV027U_DMSO/PACBIO_DATA/XCAST_20251103_R84050_PL28432-001-1-B01_IsoSeqX_bc02.bam,027U,MV027U_DMSO,DMSO,MV,XCAST_20251103_R84050_PL28432-001-1-B01_IsoSeqX_bc02
1,20374714.5077919,0.771576003510055,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV027U_Smg1i/PACBIO_DATA/XCAST_20251103_R84050_PL28431-001-1-B01_IsoSeqX_bc01.bam,027U,MV027U_Smg1i,Smg1i,MV,XCAST_20251103_R84050_PL28431-001-1-B01_IsoSeqX_bc01
1,7981584.04663653,0.984276022995399,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV029T_Smg1i/PACBIO_DATA/XCAST_20251105_R8405_1_PL28439-0011-D01_IsoSeqX_bc09.bam,029T,MV029T_Smg1i,Smg1i,MV,XCAST_20251105_R8405_1_PL28439-0011-D01_IsoSeqX_bc09
