lib.size,norm.factors,id,sample,treatment,ct,sample_num,bam
19431768.098,0.782877658700928,027U,DD027U_Smg1i,Smg1i,DD_ALI,sample3,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD027U_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21517-002_1-1-D01_IsoSeqX_bc12.bam
21901361.827,0.913751929386553,001V,DD001V_Smg1i,Smg1i,DD_ALI,sample1,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD001V_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21521-002_1-1-D01_IsoSeqX_bc04.bam
22507152.121,0.842984274954976,029T,DD029T_Smg1i,Smg1i,DD_ALI,sample4,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD029T_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21525-002_1-1-D01_IsoSeqX_bc05.bam
18974679.652,1.04704584744679,010R,DD010R_Smg1i,Smg1i,DD,sample2,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250804/DD010R_Smg1i/PACBIO_DATA/XCAST_20250725_R84050_PL21529-002_1-1-D01_IsoSeqX_bc06.bam
9886207.888,1.28794442602783,027U,DD027U_DMSO,DMSO,DD_ALI,sample15,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD027U_DMSO/PACBIO_DATA/XCAST_20250813_R84050_PL21518-002_1-1-A01_IsoSeqX_bc01.bam
10240603.181,1.45563569105627,027U,DO027U_Smg1i,Smg1i,DO,sample24,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO027U_Smg1i/PACBIO_DATA/XCAST_20250813_R84050_PL21519-002_1-1-A01_IsoSeqX_bc02.bam
11309172.684,1.24026198092559,027U,DO027U_DMSO,DMSO,DO,sample23,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO027U_DMSO/PACBIO_DATA/XCAST_20250813_R84050_PL21520-002_1-1-A01_IsoSeqX_bc03.bam
10141218.744,1.33833056493311,001V,DD001V_DMSO,DMSO,DD_ALI,sample11,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD001V_DMSO/PACBIO_DATA/XCAST_20250813_R84050_PL21522-002_1-1-A01_IsoSeqX_bc04.bam
11610306.94,1.32780408893176,001V,DO001V_Smg1i,Smg1i,DO,sample22,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO001V_Smg1i/PACBIO_DATA/XCAST_20250815_R84050_PL21523-002_1-1-C01_IsoSeqX_bc05.bam
11361235.407,1.27310577847783,001V,DO001V_DMSO,DMSO,DO,sample21,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO001V_DMSO/PACBIO_DATA/XCAST_20250815_R84050_PL21524-002_1-1-C01_IsoSeqX_bc06.bam
