cell_type	n_total	n_nmd_biotype	nmd_rate_biotype	nmd_rate_other	odds_ratio	or_ci_lower	or_ci_upper	p_value
AT	33076	1189	0.040370058873002525	0.03280333678301502	1.2403627447495253	0.9032415050286514	1.6681605482408424	0.15952595972075287
DD	35214	1291	0.09372579395817196	0.08619520679185214	1.0963654906362257	0.8981677466316391	1.3285119331653272	0.3378897968864381
DD_ALI	33725	1200	0.16666666666666666	0.20965411222136818	0.7539635854061701	0.6429804787393052	0.8806164972831991	2.5183471604745976e-4
DO	32653	1157	0	1.58750317500635e-4	0	0	29.724350471424025	0.9999999999999998
FB	33538	1248	0.014423076923076924	0.015546608857231341	0.9266753041530464	0.5428428594004311	1.4861208294760528	0.9067640278075819
MV	32737	1223	0.06214227309893704	0.05324617630259567	1.1781379284205928	0.9166897550198809	1.4953044165102092	0.1740718377400485
