cell_type	n_total	n_ptc	n_no_ptc	n_nmd_responsive	nmd_rate_ptc	nmd_rate_no_ptc	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr
AT	68744	10961	57783	2168	0.033391113949457166	0.031185642836128274	1.0731779607117742	0.9546392882207788	1.203851253430568	0.2330843448241211	0.29726843915893736
DD	72892	11610	61282	7760	0.11085271317829458	0.10562644822296922	1.0556539095996234	0.989984286418737	1.1250414481518287	0.09420746768784782	0.23176448521267945
DD_ALI	72055	11518	60537	6184	0.06320541760722348	0.0901266993739366	0.6811527574486114	0.6278628187684625	0.7381181459968917	1.3415769566996189e-22	8.049461740197713e-22
DO	69861	11203	58658	12	2.6778541462108365e-4	1.5343175696409697e-4	1.745485815849154	0.30392193160245795	6.995631865685266	0.4230140582803242	0.4230140582803242
FB	65558	10353	55205	1042	0.017193084130203807	0.015650756272076804	1.1002957259831023	0.9297169290514775	1.296263513735378	0.24772369929911447	0.29726843915893736
MV	63484	9946	53538	3646	0.06082847375829479	0.05680077701819269	1.075515548484581	0.981291012990853	1.1772971346109342	0.11588224260633972	0.23176448521267945
