# TIMESTAMP|SAMPLE_ID|JOBID|STATUS|ELAPSED_TIME|NODE
2026-01-13 17:18:34|sample15|4274651|R|24:22|stratus01.bwh.harvard.edu
2026-01-13 17:18:35|sample16|4274655|R|23:32|derby16.bwh.harvard.edu
2026-01-13 17:18:35|sample17|4274659|R|22:53|cirrus02.bwh.harvard.edu
2026-01-13 17:18:35|sample18|4274664|R|22:04|stratus03.bwh.harvard.edu
2026-01-13 17:18:36|sample38|4274825|R|4:25|green07.bwh.harvard.edu
2026-01-13 17:20:36|sample1|4274613|R|31:53|cirrus02.bwh.harvard.edu
2026-01-13 17:20:36|sample2|4274614|R|31:40|cirrus02.bwh.harvard.edu
2026-01-13 17:20:36|sample3|4274615|R|31:27|cirrus02.bwh.harvard.edu
2026-01-13 17:20:36|sample4|4274617|R|31:01|green07.bwh.harvard.edu
2026-01-13 17:20:37|sample5|4274619|R|30:38|green07.bwh.harvard.edu
2026-01-13 17:20:37|sample6|4274622|R|30:12|green07.bwh.harvard.edu
2026-01-13 17:20:37|sample7|4274626|R|29:47|chanstack2.bwh.harvard.edu
2026-01-13 17:20:38|sample8|4274630|R|29:23|chanstack3.bwh.harvard.edu
2026-01-13 17:20:38|sample9|4274633|R|28:55|stratus03.bwh.harvard.edu
2026-01-13 17:20:38|sample10|4274637|R|28:30|stratus03.bwh.harvard.edu
2026-01-13 17:20:38|sample11|4274639|R|28:07|stratus03.bwh.harvard.edu
2026-01-13 17:20:39|sample12|4274642|R|27:43|stratus01.bwh.harvard.edu
2026-01-13 17:20:39|sample13|4274645|R|27:17|stratus01.bwh.harvard.edu
2026-01-13 17:20:39|sample14|4274647|R|26:52|stratus01.bwh.harvard.edu
2026-01-13 17:20:39|sample15|4274651|R|26:27|stratus01.bwh.harvard.edu
2026-01-13 17:20:40|sample16|4274655|R|25:37|derby16.bwh.harvard.edu
2026-01-13 17:20:40|sample17|4274659|R|24:58|cirrus02.bwh.harvard.edu
2026-01-13 17:20:40|sample18|4274664|R|24:09|stratus03.bwh.harvard.edu
2026-01-13 17:20:40|sample38|4274825|R|6:29|green07.bwh.harvard.edu
