sample1|4274613|1768340922
sample2|4274614|1768340935
sample3|4274615|1768340948
sample4|4274616|1768340961
sample4|4274617|1768340973
sample5|4274618|1768340986
sample5|4274619|1768340999
sample6|4274621|1768341012
sample6|4274622|1768341024
sample7|4274624|1768341037
sample7|4274626|1768341049
sample8|4274629|1768341062
sample8|4274630|1768341075
sample9|4274631|1768341088
sample9|4274633|1768341100
sample10|4274634|1768341113
sample10|4274637|1768341125
sample11|4274638|1768341138
sample11|4274639|1768341151
sample12|4274641|1768341163
sample12|4274642|1768341176
sample13|4274644|1768341189
sample13|4274645|1768341201
sample14|4274646|1768341214
sample14|4274647|1768341226
sample15|4274649|1768341239
sample15|4274651|1768341252
sample16|4274652|1768341265
sample16|4274653|1768341278
sample16|4274654|1768341290
sample16|4274655|1768341303
sample17|4274656|1768341316
sample17|4274657|1768341328
sample17|4274659|1768341341
sample18|4274660|1768341353
sample18|4274662|1768341366
sample18|4274663|1768341378
sample18|4274664|1768341391
sample19|4274665|1768341404
sample19|4274667|1768341416
sample19|4274668|1768341429
sample19|4274670|1768341441
sample19|4274672|1768341454
sample20|4274673|1768341456
sample20|4274674|1768341469
sample20|4274675|1768341482
sample20|4274676|1768341494
sample20|4274677|1768341507
sample21|4274678|1768341509
sample21|4274679|1768341522
sample21|4274681|1768341535
sample21|4274682|1768341547
sample21|4274684|1768341560
sample22|4274685|1768341562
sample22|4274687|1768341575
sample22|4274689|1768341588
sample22|4274690|1768341600
sample22|4274691|1768341613
sample23|4274692|1768341615
sample23|4274693|1768341628
sample23|4274695|1768341641
sample23|4274697|1768341653
sample23|4274699|1768341666
sample24|4274700|1768341668
sample24|4274701|1768341681
sample24|4274702|1768341693
sample24|4274703|1768341706
sample24|4274704|1768341719
sample25|4274705|1768341721
sample25|4274706|1768341734
sample25|4274707|1768341746
sample25|4274708|1768341759
sample25|4274710|1768341771
sample26|4274711|1768341774
sample26|4274713|1768341787
sample26|4274714|1768341799
sample26|4274716|1768341812
sample26|4274717|1768341825
sample27|4274718|1768341827
sample27|4274720|1768341840
sample27|4274721|1768341852
sample27|4274722|1768341865
sample27|4274723|1768341878
sample28|4274724|1768341880
sample28|4274725|1768341893
sample28|4274727|1768341905
sample28|4274728|1768341918
sample28|4274729|1768341931
sample29|4274730|1768341933
sample29|4274732|1768341946
sample29|4274733|1768341959
sample29|4274734|1768341972
sample29|4274736|1768341984
sample30|4274738|1768341987
sample30|4274741|1768341999
sample30|4274744|1768342012
sample30|4274746|1768342025
sample30|4274747|1768342037
sample31|4274748|1768342040
sample31|4274750|1768342052
sample31|4274751|1768342065
sample31|4274753|1768342077
sample31|4274755|1768342090
sample32|4274756|1768342093
sample32|4274757|1768342105
sample32|4274758|1768342118
sample32|4274760|1768342131
sample32|4274761|1768342143
sample33|4274762|1768342146
sample33|4274763|1768342158
sample33|4274764|1768342171
sample33|4274765|1768342184
sample33|4274767|1768342196
sample34|4274769|1768342199
sample34|4274771|1768342211
sample34|4274773|1768342224
sample34|4274774|1768342237
sample34|4274798|1768342249
sample35|4274799|1768342252
sample35|4274800|1768342265
sample35|4274802|1768342277
sample35|4274803|1768342290
sample35|4274804|1768342303
sample36|4274805|1768342305
sample36|4274807|1768342318
sample36|4274808|1768342331
sample36|4274810|1768342343
sample36|4274812|1768342356
sample37|4274813|1768342358
sample37|4274814|1768342371
sample37|4274815|1768342384
sample37|4274816|1768342396
sample37|4274817|1768342409
sample38|4274818|1768342411
sample38|4274820|1768342424
sample38|4274823|1768342437
sample38|4274825|1768342450
