ptc_distance_bin	n_cell_types	total_n	total_nmd	pooled_nmd_rate	mean_nmd_rate	sd_nmd_rate	median_distance
0-50 (no PTC)	6	310173	16063	0.051787228417689485	0.050841678581618935	0.04256614944883806	-146
51-100	6	4366	234	0.053595968850206135	0.0525724087172043	0.045199296720489175	73
101-200	6	7363	419	0.05690615238353932	0.056505001279269	0.042400305008289854	148
201-500	6	17660	804	0.04552661381653454	0.0447373407256766	0.03685870260445085	342.5
>500	6	36202	1710	0.04723495939450859	0.04663963437533382	0.03975096221671862	1031
