model	stratum	n	spearman	pearson	r2	mae	rmse
nmdetective_b	pooled	1638	0.8042	0.8405	0.7065	1.2869	1.9183
nmdetective_b	NMD+/PTC+	756	0.1213	0.118	0.0139	2.5312	2.7416
nmdetective_b	NMD+/PTC-	63	-0.0369	-0.0905	0.0082	2.1262	2.2989
nmdetective_b	Control	819	0.0755	0.0737	0.0054	0.0737	0.124
nmdep_rule	pooled	1638	0.8041	0.8417	0.7085	1.287	1.9188
nmdep_rule	NMD+/PTC+	756	0.1095	0.1136	0.0129	2.5318	2.7424
nmdep_rule	NMD+/PTC-	63	-0.0369	-0.0905	0.0082	2.1262	2.2989
nmdep_rule	Control	819	0.0757	0.0773	0.006	0.0734	0.1226
our_model	pooled	1570	0.77	0.7991	0.6386	1.2511	1.7902
our_model	NMD+/PTC+	735	0.3112	0.2564	0.0657	2.3334	2.537
our_model	NMD+/PTC-	54	0.3614	0.3359	0.1128	1.9223	2.0735
our_model	Control	781	0.2033	0.2411	0.0581	0.1861	0.2962
nmdetective_b	head-to-head	1570	0.8057	0.8487	0.7203	1.321	1.9515
nmdep_rule	head-to-head	1570	0.8057	0.85	0.7225	1.3212	1.952
our_model	head-to-head	1570	0.77	0.7991	0.6386	1.2511	1.7902
nmdetective_b	head-to-head:NMD+/PTC+	735	0.1279	0.1284	0.0165	2.5801	2.774
nmdep_rule	head-to-head:NMD+/PTC+	735	0.1168	0.1246	0.0155	2.5808	2.7748
our_model	head-to-head:NMD+/PTC+	735	0.3112	0.2564	0.0657	2.3334	2.537
nmdetective_b	head-to-head:NMD+/PTC-	54	-0.0752	-0.1294	0.0168	2.2355	2.4005
nmdep_rule	head-to-head:NMD+/PTC-	54	-0.0752	-0.1294	0.0168	2.2355	2.4005
our_model	head-to-head:NMD+/PTC-	54	0.3614	0.3359	0.1128	1.9223	2.0735
nmdetective_b	head-to-head:Control	781	0.0647	0.0705	0.005	0.0729	0.1244
nmdep_rule	head-to-head:Control	781	0.065	0.0742	0.0055	0.0726	0.123
our_model	head-to-head:Control	781	0.2033	0.2411	0.0581	0.1861	0.2962
nmdetective_b	head-to-head:test	415	0.7906	0.8324	0.6928	1.3893	2.0361
nmdep_rule	head-to-head:test	415	0.793	0.8367	0.7001	1.3903	2.0376
our_model	head-to-head:test	415	0.7666	0.7847	0.6158	1.3306	1.8898
nmdetective_b	head-to-head:test:NMD+/PTC+	195	0.1622	0.1273	0.0162	2.6813	2.882
nmdep_rule	head-to-head:test:NMD+/PTC+	195	0.1558	0.1566	0.0245	2.6848	2.8844
our_model	head-to-head:test:NMD+/PTC+	195	0.3516	0.3459	0.1197	2.4693	2.6685
nmdetective_b	head-to-head:test:NMD+/PTC-	16	0.196	0.1256	0.0158	2.2851	2.4519
nmdep_rule	head-to-head:test:NMD+/PTC-	16	0.196	0.1256	0.0158	2.2851	2.4519
our_model	head-to-head:test:NMD+/PTC-	16	0.5941	0.508	0.2581	2.0225	2.1712
nmdetective_b	head-to-head:test:Control	204	0.0322	1e-04	0	0.084	0.151
nmdep_rule	head-to-head:test:Control	204	0.0334	0.0086	1e-04	0.0828	0.1463
our_model	head-to-head:test:Control	204	0.2724	0.2972	0.0883	0.1878	0.2975
