event_type	nmd_n	nmd_pct	c4_n	c4_pct	odds_ratio	p_value	fdr_p
Missing_Internal	12	22.6	38	17.8	1.3539510207230783	0.4335970845060271	0.6767445360236554
A3SS	7	13.2	21	9.8	1.396653070489704	0.4581342241918056	0.6767445360236554
A5SS	5	9.4	29	13.6	0.6654092154097409	0.49790752719049186	0.6767445360236554
Alt_TES	0	0	4	1.9	0	0.5876913939598744	0.6767445360236554
Partial_IR_3	0	0	6	2.8	0	0.6022974559478572	0.6767445360236554
SE	22	41.5	81	37.9	1.1645919915728116	0.6390191730705095	0.6767445360236554
Partial_IR_5	7	13.2	35	16.4	0.7789722137491709	0.6767445360236554	0.6767445360236554
