comparison	n	comp_only_ptc	dom_only_ptc	both_ptc	neither_ptc	pct_comp_only	pct_dom_only
C1	142	10	14	6	112	7	9.9
C2	874	92	78	35	669	10.5	8.9
C4	3939	379	322	132	3106	9.6	8.2
