event_type	nmd_n	nmd_pct	c4_n	c4_pct	odds_ratio	p_value	fdr_p
SE	47	47.5	123	35.9	1.614750800347098	0.04589005500417983	0.23986464877319957
Partial_IR_5	11	11.1	63	18.4	0.556214608849494	0.09459268672649003	0.23986464877319957
A3SS	14	14.1	30	8.7	1.7160597889312328	0.1277733513275882	0.23986464877319957
Partial_IR_3	1	1	15	4.4	0.22361406054563654	0.13706551358468547	0.23986464877319957
A5SS	8	8.1	45	13.1	0.5828051176921153	0.2191879700585959	0.30686315808203424
Missing_Internal	15	15.2	60	17.5	0.8425905378801851	0.6504793749171178	0.7000658560671578
Alt_TES	3	3	7	2	1.4984797119233686	0.7000658560671578	0.7000658560671578
