nmd_comparison	run	nmd_n	nmd_ptc_n	nmd_ptc_rate	baseline_n	baseline_ptc_n	baseline_ptc_rate	diff	odds_ratio	or_ci_lower	or_ci_upper	p_value	fdr_p
C1	at	20	5	0.25	1446	178	0.12309820193637622	0.12690179806362378	2.372713292400117	0.6663942864208764	6.9731450555732675	0.0931500515402537	0.2561626417356977
C1	dd	56	6	0.10714285714285714	1203	154	0.12801330008312553	-0.020870442940268394	0.8175251467765794	0.2816610701223814	1.9522976886834076	0.8373234508235502	0.8771407034151427
C1	dd_ali	46	2	0.043478260869565216	577	91	0.15771230502599654	-0.11423404415643132	0.24310819408865475	0.02805614275810006	0.961203210548607	0.032043505463450014	0.11749285336598338
C1	fb	13	3	0.23076923076923078	1557	174	0.11175337186897881	0.11901585890025197	2.3826548496110265	0.41740747004115847	9.372037257510115	0.17332572241866026	0.3177638244342105
C1	mv	40	6	0.15	1377	156	0.11328976034858387	0.03671023965141612	1.3808643254754016	0.46635189264442484	3.3991264125554324	0.44860234624790557	0.6483592780241398
C2	all_samples	164	18	0.10975609756097561	267	31	0.11610486891385768	-0.006348771352882074	0.9387041035327975	0.47608942236191265	1.8036503874418022	0.8771407034151427	0.8771407034151427
C2	at	177	25	0.14124293785310735	1446	178	0.12309820193637622	0.01814473591673113	1.1714865081273111	0.7142106267729628	1.8576420132667801	0.4715340203811926	0.6483592780241398
C2	dd	370	58	0.15675675675675677	1203	154	0.12801330008312553	0.028743456673631235	1.2660939052563602	0.8956542001871878	1.7723134016942195	0.16392091326374686	0.3177638244342105
C2	dd_ali	214	18	0.08411214953271028	577	91	0.15771230502599654	-0.07360015549328626	0.4908570207829727	0.2710515919402635	0.8467022191295082	0.007380037045084262	0.04059020374796344
C2	fb	69	8	0.11594202898550725	1557	174	0.11175337186897881	0.004188657116528438	1.0423781361367055	0.4235315026613588	2.2354626037185312	0.8461074484453069	0.8771407034151427
C2	mv	243	44	0.18106995884773663	1377	156	0.11328976034858387	0.06778019849915276	1.7298750273765386	1.169674780098628	2.521121778617978	0.00424058272218412	0.04059020374796344
